""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"exposure_material"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"IFI30"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"IFI30"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"BLVRA"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"BLVRA"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TRIM56"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TRIM56"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"ATF5"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"ATF5"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"FAM225A"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"FAM225A"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"RIPK2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"RIPK2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"C1GALT1C1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"C1GALT1C1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"OAS1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"OAS1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TRIM6"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TRIM6"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"RPS6KC1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"RPS6KC1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"SCIMP"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"C17orf87"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"AIM2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"AIM2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"SP140"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SP140"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"MT2A"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"MT2A"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"LMO2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"LMO2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TMEM208"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TMEM208"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"FRMD3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"FRMD3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"RGL1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"RGL1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"FCER1G"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"FCER1G"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"RPAP3"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"RPAP3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CEACAM1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CEACAM1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TCN2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"TCN2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CTSL"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CTSL1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"SCARB2"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"SCARB2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"OTOF"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"OTOF"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CCR1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CCR1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"LPGAT1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"LPGAT1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CREG1"	"gene expression"	"positively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"3"	"243"	"CREG1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_243.txt"	"hipc_gene_cor_complete_23878721_243.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"STRIP2"	"gene expression"	"negatively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"4"	"244"	"FAM40B"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_244.txt"	"hipc_gene_cor_complete_23878721_244.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"EML3"	"gene expression"	"negatively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"4"	"244"	"EML3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_244.txt"	"hipc_gene_cor_complete_23878721_244.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"PIK3IP1"	"gene expression"	"negatively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"4"	"244"	"PIK3IP1"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_244.txt"	"hipc_gene_cor_complete_23878721_244.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CCDC92"	"gene expression"	"negatively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"4"	"244"	"CCDC92"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_244.txt"	"hipc_gene_cor_complete_23878721_244.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"NMNAT3"	"gene expression"	"negatively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"4"	"244"	"NMNAT3"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_244.txt"	"hipc_gene_cor_complete_23878721_244.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"CXCR6"	"gene expression"	"negatively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"4"	"244"	"CXCR6"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_244.txt"	"hipc_gene_cor_complete_23878721_244.txt"
""	"hipc_gene_cor_23878721"	"2013.07"	"hipc_gene_cor_35"	"blood"	"TOX2"	"gene expression"	"negatively"	"none"	"1"	"Day"	"2008, 2009"	"Sanofi Pasteur, SA, Inactivated influenza vaccine"	"VO_0001176"	""	"correlated with antibody response"	"time of vaccination (first dose)"	"adults (18-40)"	"23878721"	"2013"	""	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=23878721"	"adults"	"18"	"40"	"years"	"4"	"244"	"TOX2"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Florida/4/2006)"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_cor_23878721_244.txt"	"hipc_gene_cor_complete_23878721_244.txt"
