""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"signature_file"	"complete_signature_file"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"STAT4"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"STAT4"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"ZNF136"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"ZNF136"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"KPNA5"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"KPNA5"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"SLC16A7"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"SLC16A7"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"TGFBR2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"TGFBR2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"EZR"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"EZR"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"MED21"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"MED21"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"PTS"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"PTS"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NR1D2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"NR1D2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"SF1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"SF1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"ZMYM2"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"ZMYM2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"CAMK4"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"CAMK4"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"PPM1A"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"PPM1A"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"GOLGA8A"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"GOLGA8A"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"GOLGA8B"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"GOLGA8B"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"LEF1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"LEF1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"PIK3R1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"PIK3R1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"ENDOD1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"ENDOD1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"CLASP1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"CLASP1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"ZEB1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"ZEB1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"SUPV3L1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"SUPV3L1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"ZFR"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"ZFR"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NGDN"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"NGDN"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"JUND"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"JUND"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"YTHDC1"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"YTHDC1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"FAM153A"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"FAM153A"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"FAM153B"	"gene expression"	"negatively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"13"	"236"	"FAM153B"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_236.txt"	"hipciof_gene_corr_complete_21743478_236.txt"
