""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LOC100506990"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"LOC100506990"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CDKN2A"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"CDKN2A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CLIC5"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"CLIC5"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KLRB1"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"KLRB1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"FUT2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"FUT2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"AFAP1-AS1"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"AFAP1-AS1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"TRIM2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"TRIM2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ATAD3C"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ATAD3C"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SERF2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"SERF2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SNORD4A"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"SNORD4A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CD3D"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"CD3D"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"RPL27A"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"RPL27A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF780B"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ZNF780B"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"DOK6"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"DOK6"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ITPRIPL1"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ITPRIPL1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF233"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ZNF233"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SNORD34"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"SNORD34"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF585A"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ZNF585A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PRR5L"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"PRR5L"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ZNF738"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ZNF738"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"FXYD1"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"FXYD1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"CCDC65"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"CCDC65"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"MTLN"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"NCRNA00116"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"N6AMT1"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"N6AMT1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PRMT2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"PRMT2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"NDUFC2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"NDUFC2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ANKRD19P"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ANKRD19P"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"FAT2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"FAT2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ANGPT2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ANGPT2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SNORD50A"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"SNORD50A"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ASTN2"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"ASTN2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KLHL35"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"KLHL35"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SNORD54"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"SNORD54"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"NAA38"	"gene expression"	"positively"	"none"	"0"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors(50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"1"	"207"	"NAA38"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_207.txt"	"hipciof_gene_corr_complete_27317456_207.txt"
